Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Seasonal Naive,36.12,46.54,5.54,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,130.91,167.38,25.0,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,85.8,93.83,14.83,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,36.04,46.05,5.48,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,77.11,88.26,14.02,S003,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,63.0,78.78,17.37,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,55.88,64.87,15.08,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,21.38,24.34,5.22,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,87.43,102.5,23.72,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,42.02,46.02,10.93,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.24,18.5,3.42,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,37.19,45.2,10.15,S003,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,110.88,147.4,23.05,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,99.44,136.66,20.87,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,35.5,45.28,6.51,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,129.8,165.47,26.61,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,81.82,92.19,15.77,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,37.34,41.4,6.88,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,64.47,89.47,13.55,S003,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,24.88,29.33,16.73,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,22.12,23.56,14.19,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,17.5,19.28,10.67,S004,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,33.19,38.29,22.41,S004,P001,weekly,8,2026-06-05 05:22:55.630437
